,Pos,Old,Old.R,Old.Pot,New,New.R,New.Pot,Paid
0,GK,Tony Figueroa,0.0,76.0,Gianluigi Donnarumma,83.0,94.0,33500000.0
1,LB,,0.0,0.0,Thilo Kehrer,79.0,87.0,16000000.0
2,LCB,,0.0,0.0,William Saliba,71.0,88.0,4200000.0
3,RCB,,0.0,0.0,Boubacar Kamara,75.0,88.0,10500000.0
4,RB,,0.0,0.0,Trent Alexander-Arnold,80.0,89.0,19000000.0
5,LCM,,0.0,0.0,Rodrigo Bentancur,78.0,90.0,18500000.0
6,CM,,0.0,0.0,Ricard Puig Martí,69.0,89.0,2100000.0
7,RCM,,0.0,0.0,Sandro Tonali,73.0,90.0,7500000.0
8,CAM,,0.0,0.0,Phil Foden,75.0,90.0,13500000.0
9,LS,,0.0,0.0,Christian Kouamé,75.0,89.0,15000000.0
10,RS,,0.0,0.0,Ezequiel Barco,73.0,88.0,8500000.0
11,,,0.0,76.0,,831.0,982.0,148300000.0
